Chr Pos
1 10320887
1 10321028
1 10321236
1 10321268
1 10321298
1 10321450
1 10321522
1 10321626
1 10321710
1 10322143
1 10322341
1 10322413
1 10322417
1 10322437
1 10322503
1 10322591
1 10322608
1 10322636
1 10322669
1 10322690
1 10322903
1 10322985
1 10322993
1 10323385
1 10323444
1 10323547
1 10323569
1 10323571
1 10323578
1 10323602
1 10324110
1 10324127
1 10324179
1 10324356
1 10324431
1 10324449
1 10324571
1 10324581
1 10324629
1 10324653
1 10324682
1 10324704
1 10325049
1 10325316
1 10325349
1 10325362
1 10325415
1 10325441
1 10325469
1 10325492
1 10325527
1 10325662
1 10325709
1 10325728
1 10325833
1 10325905
1 10325911
1 10325971
1 10326068
1 10326077
1 10326124
1 10326147
1 10326186
1 10326302
1 10326312
1 10326342
1 10326513
1 10326853
1 10326882
1 10326922
1 10327044
1 10327129
1 10327198
1 10327478
1 10327528
1 10327723
1 10327806
1 10327826
1 10327854
1 10327896
1 10328194
1 10328376
1 10328535
1 10328759
1 10328806
1 10328860
1 10328919
1 10328978
1 10328980
1 10328990
1 10329020
1 10329177
1 10329207
1 10329209
1 10329314
1 10330041
1 10330528
1 10331249
1 10331289
1 10331470
1 10332688
1 10333486
1 10333497
1 10333506
1 10333657
1 10333661
1 10333724
1 10333796
1 10333826
1 10333903
1 10334113
1 10334123
1 10334151
1 10334156
1 10334181
1 10334254
1 10334307
1 10334368
1 10334707
1 10334830
1 10334881
1 10335173
1 10335382
1 10335485
1 10335598
1 10335697
1 10335738
1 10335783
1 10335821
1 10335885
1 10335923
1 10335947
1 10335955
1 10335999
1 10336003
1 10336011
1 10336015
1 10336089
1 10336105
1 10336133
1 10336143
1 10336145
1 10336217
1 10336238
1 10336462
1 10336652
1 10336908
1 10337070
1 10337087
1 10337328
1 10337330
1 10337341
1 10337366
1 10337388
1 10337637
1 10337750
1 10337794
1 10337806
1 10337866
1 10337891
1 10338042
1 10338062
1 10338171
1 10338189
1 10338203
1 10338414
1 10338450
1 10338490
1 10338631
1 10338652
1 10338693
1 10338977
1 10339420
1 10339449
1 10339528
1 10339567
1 10339613
1 10339639
1 10339641
1 10339676
1 10339678
1 10339692
1 10339694
1 10339836
1 10339986
1 10339991
1 10340015
1 10340026
1 10340105
1 10340194
1 10340381
1 10340600
1 10340606
1 10340694
1 10340740
1 10340790
1 10340818
1 10340828
1 10340830
1 10341198
1 10341249
1 10341490
1 10341547
1 10341654
1 10341845
1 10341922
1 10341965
1 10341998
1 10342115
1 10342131
1 10342161
1 10342186
1 10342318
1 10342452
1 10342615
1 10342632
1 10342761
1 10342790
1 10342833
1 10342878
1 10342957
1 10342987
1 10343025
1 10343027
1 10343036
1 10343081
1 10343120
1 10343315
1 10343389
1 10343416
1 10343532
1 10343707
1 10343725
1 10343741
1 10343833
1 10343988
1 10344134
1 10344246
1 10344602
1 10344864
1 10344888
1 10344890
1 10344908
1 10344914
1 10344946
1 10344953
1 10344978
1 10345058
1 10345077
1 10345128
1 10345177
1 10345227
1 10345231
1 10345250
1 10345257
1 10345288
1 10345492
1 10345497
1 10345523
1 10345590
1 10345608
1 10345624
1 10345781
1 10345799
1 10345901
1 10346173
1 10346199
1 10346221
1 10346244
1 10346246
1 10346248
1 10346464
1 10346626
1 10346693
1 10346695
1 10346698
1 10346748
1 10346809
1 10346882
1 10346891
1 10347046
1 10347091
1 10347105
1 10347159
1 10347224
1 10347283
1 10347326
1 10347451
1 10347469
1 10347541
1 10347551
1 10347698
1 10347780
1 10347783
1 10347808
1 10347820
1 10347851
1 10347854
1 10347897
1 10347954
1 10348041
1 10348083
1 10348114
1 10348237
1 10348285
